State Code,State,Case Number,County Code,County,Monthid,Month,Day,Day of Month,Day of Week,Weekday,Year,Hour,Hour Range,Minute,Minute Digit,Latitude,Latitudeid,Longitude,Longitudeid,Light Conditionid,Light Condition,Weatherid,Weather Condition,Number of Deaths
37,North Carolina,370001,1,ALAMANCE (1),1,January,6,6,4,Wednesday,2021,14,2:00pm-2:59pm,17,17,36.06458889,36.06458889,-79.52314444,-79.52314444,1,Daylight,1,Clear,1
37,North Carolina,370002,1,ALAMANCE (1),1,January,17,17,1,Sunday,2021,15,3:00pm-3:59pm,40,40,36.09713889,36.09713889,-79.27244444,-79.27244444,1,Daylight,1,Clear,2
37,North Carolina,370003,3,ALEXANDER (3),1,January,2,2,7,Saturday,2021,19,7:00pm-7:59pm,16,16,36.02641667,36.02641667,-81.18979722,-81.18979722,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",1
37,North Carolina,370004,3,ALEXANDER (3),1,January,9,9,7,Saturday,2021,19,7:00pm-7:59pm,12,12,35.90247222,35.90247222,-81.24341944,-81.24341944,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370005,7,ANSON (7),1,January,3,3,1,Sunday,2021,0,0:00am-0:59am,6,6,35.08731667,35.08731667,-80.22321389,-80.22321389,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370006,9,ASHE (9),1,January,8,8,6,Friday,2021,8,8:00am-8:59am,33,33,36.44574444,36.44574444,-81.42717222,-81.42717222,1,Daylight,4,Snow,1
37,North Carolina,370007,19,BRUNSWICK (19),1,January,17,17,1,Sunday,2021,15,3:00pm-3:59pm,18,18,33.93606944,33.93606944,-78.56793889,-78.56793889,1,Daylight,1,Clear,1
37,North Carolina,370008,19,BRUNSWICK (19),1,January,15,15,6,Friday,2021,23,11:00pm-11:59pm,39,39,34.00781389,34.00781389,-78.30016389,-78.30016389,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370009,19,BRUNSWICK (19),1,January,7,7,5,Thursday,2021,9,9:00am-9:59am,57,57,34.23347778,34.23347778,-77.96413611,-77.96413611,1,Daylight,1,Clear,1
37,North Carolina,370010,21,BUNCOMBE (21),1,January,9,9,7,Saturday,2021,2,2:00am-2:59am,48,48,35.57841389,35.57841389,-82.58281389,-82.58281389,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370011,21,BUNCOMBE (21),1,January,27,27,4,Wednesday,2021,10,10:00am-10:59am,24,24,35.50299722,35.50299722,-82.40139167,-82.40139167,1,Daylight,1,Clear,1
