ST_CASE,STATENAME,COUNTYNAME,CITYNAME,PEDS,FATALS,Date,LATITUDE,LONGITUD
370001,North Carolina,ALAMANCE ,BURLINGTON,0,1,2021-01-06,36.06458889,-79.52314444
370002,North Carolina,ALAMANCE ,MEBANE,0,2,2021-01-17,36.09713889,-79.27244444
370003,North Carolina,ALEXANDER ,NOT APPLICABLE,0,1,2021-01-02,36.02641667,-81.18979722
370004,North Carolina,ALEXANDER ,NOT APPLICABLE,0,1,2021-01-09,35.90247222,-81.24341944
370005,North Carolina,ANSON ,NOT APPLICABLE,0,1,2021-01-03,35.08731667,-80.22321389
370006,North Carolina,ASHE ,NOT APPLICABLE,0,1,2021-01-08,36.44574444,-81.42717222
370007,North Carolina,BRUNSWICK ,CALABASH,0,1,2021-01-17,33.93606944,-78.56793889
370008,North Carolina,BRUNSWICK ,NOT APPLICABLE,2,1,2021-01-15,34.00781389,-78.30016389
370009,North Carolina,BRUNSWICK ,NOT APPLICABLE,0,1,2021-01-07,34.23347778,-77.96413611
370010,North Carolina,BUNCOMBE ,ASHEVILLE,1,1,2021-01-09,35.57841389,-82.58281389
370011,North Carolina,BUNCOMBE ,NOT APPLICABLE,0,1,2021-01-27,35.50299722,-82.40139167
370012,North Carolina,BURKE ,NOT APPLICABLE,0,2,2021-01-31,35.75791944,-81.72792222
370013,North Carolina,CATAWBA ,HICKORY,0,1,2021-01-02,35.75041111,-81.34031111
370014,North Carolina,CABARRUS ,KANNAPOLIS,1,1,2021-01-05,35.49917222,-80.56311944
370015,North Carolina,CATAWBA ,MAIDEN,0,1,2021-01-11,35.58273056,-81.21425556
370016,North Carolina,BURKE ,HILDEBRAN,0,1,2021-01-25,35.71516111,-81.42113333
370017,North Carolina,CHATHAM ,NOT APPLICABLE,0,1,2021-01-20,35.81785,-79.02441111
370018,North Carolina,CHEROKEE ,NOT APPLICABLE,0,1,2021-01-26,35.05718056,-84.06583333
370019,North Carolina,CLEVELAND ,NOT APPLICABLE,0,1,2021-01-02,35.18853611,-81.33761111
370020,North Carolina,CLEVELAND ,NOT APPLICABLE,0,1,2021-01-09,35.177325,-81.32661667
370021,North Carolina,COLUMBUS ,NOT APPLICABLE,0,2,2021-01-31,34.37319167,-78.61255278
370022,North Carolina,COLUMBUS ,NOT APPLICABLE,0,1,2021-01-28,34.20468889,-78.82917222
370023,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-01-09,34.87195556,-76.81225833
370024,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-01-13,35.25136667,-77.09071111
370025,North Carolina,CUMBERLAND ,NOT APPLICABLE,1,1,2021-01-04,34.99959722,-78.89794722
370026,North Carolina,CUMBERLAND ,HOPE MILLS,0,1,2021-01-18,34.97220556,-78.96031944
370027,North Carolina,DAVIDSON ,NOT APPLICABLE,0,1,2021-01-07,35.782075,-80.09314722
370028,North Carolina,DAVIDSON ,NOT APPLICABLE,0,1,2021-01-22,35.73799722,-80.09793333
370029,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-01-13,35.35028056,-77.15086111
370030,North Carolina,CUMBERLAND ,FAYETTEVILLE,0,1,2021-01-15,35.03007222,-79.03765278
370031,North Carolina,DUPLIN ,NOT APPLICABLE,0,2,2021-01-26,34.86748056,-77.79289722
370032,North Carolina,DURHAM ,DURHAM,0,1,2021-01-01,35.90758056,-78.97652222
370033,North Carolina,DURHAM ,DURHAM,0,1,2021-01-06,35.99391111,-78.87438889
