"hour_range","count","hour"
"0:00am-0:59am","51",0
"1:00am-1:59am","44",1
"2:00am-2:59am","75",2
"3:00am-3:59am","33",3
"4:00am-4:59am","35",4
"5:00am-5:59am","23",5
"6:00am-6:59am","53",6
"7:00am-7:59am","56",7
"8:00am-8:59am","41",8
"9:00am-9:59am","30",9
"10:00am-10:59am","45",10
"11:00am-11:59am","60",11
"12:00pm-12:59pm","75",12
"1:00pm-1:59pm","70",13
"2:00pm-2:59pm","70",14
"3:00pm-3:59pm","67",15
"4:00pm-4:59pm","90",16
"5:00pm-5:59pm","91",17
"6:00pm-6:59pm","117",18
"7:00pm-7:59pm","78",19
"8:00pm-8:59pm","101",20
"9:00pm-9:59pm","89",21
"10:00pm-10:59pm","74",22
"11:00pm-11:59pm","64",23
